Syllable,Difficulty for English speakers
Pi,Low
Pian,Low
Piao,Low
Pie,Low
Pin,Low
Ping,Low
Po,Medium
Pou,Low
Pu,Low
Qi,High
Qia,High
Qian,High
Qiang,High
Qiao,High
Qie,High
Qin,High
Qing,High
Qiong,High
Qiu,High
Qu,Very High
Quan,Very High
Que,Very High
Qun,Very High
Ran,High
Rang,High
Rao,High
Re,High
Ren,High
Reng,High
Ri,High
Rong,High
Rou,High
Ru,High
Rua,High
Ruan,High
Rui,High
Run,High
Ruo,High
Sa,Low
Sai,Low
San,Low
Sang,Low
Sao,Low
Se,Low
Sen,Low
Seng,Low
Sha,Medium
Shai,Medium
Shan,Medium
Shang,Medium
Shao,Medium
She,Medium
Shei,Medium
Shen,Medium
Sheng,Medium
Shi,Medium
Shou,Medium
Shu,Medium
Shua,Medium
Shuai,Medium
Shuan,Medium
Shuang,Medium
Shui,Medium
Shun,Medium
Shuo,High
Si,Low
Song,Low
Sou,Low
Su,Low
Suan,Low
Sui,Low
Sun,Low
Suo,Medium
Ta,Low
Tai,Low
Tan,Low
Tang,Low
Tao,Low
Te,Low
Teng,Low
Ti,Low
Tian,Low
Tiao,Low
Tie,Low
Ting,Low
Tong,Low
Tou,Low
Tu,Low
Tuan,Low
Tui,Low
Tun,Low
Tuo,Medium
Wa,Low
Wai,Low
Wan,Low
Wang,Low
Wei,Low
Wen,Low
Weng,Low
Wo,Medium
Wu,Low
Xi,High
Xia,High
Xian,High
Xiang,High
Xiao,High
Xie,High
Xin,High
Xing,High
Xiong,High
Xiu,High
Xu,Very High
Xuan,Very High
Xue,Very High
Xun,Very High
Ya,Low
Yan,Low
Yang,Low
Yao,Low
Ye,Low
Yi,Low
Yin,Low
Ying,Low
Yong,Low
You,Low
Yu,High
Yuan,High
Yue,High
Yun,High
Za,Medium
Zai,Medium
Zan,Medium
Zang,Medium
Zao,Medium
Ze,Medium
Zei,Medium
Zen,Medium
Zeng,Medium
Zha,Medium
Zhai,Medium
Zhan,Medium
Zhang,Medium
Zhao,Medium
Zhe,Medium
Zhei,Medium
Zhen,Medium
Zheng,Medium
Zhi,Medium
Zhong,Medium
Zhou,Medium
Zhu,Medium
Zhua,Medium
Zhuai,Medium
Zhuan,Medium
Zhuang,Medium
Zhui,Medium
Zhun,Medium
Zhuo,High
Zi,Medium
Zong,Medium
Zou,Medium
Zu,Medium
Zuan,Medium
Zui,Medium
Zun,Medium
Zuo,High
